### Table 1: p=10, z=1.0
| Run | Start x | Start y | Final x | Final y | Min f(x,y) |
|-----|---------|---------|---------|---------|------------|
| 1 | 142.7730 | -486.3890 | 106.7774 | -512.0000 | -476.3129 |
| 2 | 326.0691 | 116.2990 | 343.0409 | 141.2032 | -342.4178 |
| 3 | -322.7841 | -368.0134 | -327.8153 | -371.8621 | -367.6928 |
| 4 | 63.8832 | 479.0131 | 100.2654 | 455.8429 | -456.0569 |
| 5 | 263.3613 | -334.9719 | 289.2961 | -355.3448 | -351.0171 |
| 6 | 466.3764 | 16.9003 | 452.3032 | 32.4726 | -451.2251 |
| 7 | 155.9024 | -311.1943 | 183.1600 | -307.8081 | -304.5489 |
| 8 | -288.3722 | 146.7783 | -291.1540 | 129.8288 | -289.1933 |
| 9 | 481.6493 | -77.9958 | 457.7552 | -101.2670 | -456.5038 |
| 10 | -426.7105 | 385.7975 | -497.0617 | 403.9651 | -494.0380 |
| 11 | 405.0806 | 107.0145 | 466.6666 | 166.5277 | -465.8633 |
| 12 | -393.9347 | 162.1322 | -403.9998 | 154.0606 | -402.5355 |
| 13 | 70.9695 | -28.7605 | 82.8474 | -42.6389 | -81.9191 |
| 14 | 37.6087 | -374.3689 | 92.9276 | -394.1700 | -392.3325 |
| 15 | 231.6274 | 41.7454 | 224.9303 | 22.7867 | -224.1885 |
| 16 | 260.6219 | -443.3162 | 217.4071 | -420.5893 | -417.7161 |
| 17 | -70.4924 | -220.4051 | -106.4568 | -196.2386 | -194.4597 |
| 18 | 58.1144 | -66.6542 | 61.8645 | -62.8572 | -61.8093 |
| 19 | 280.1189 | 270.4970 | 275.7528 | 274.7360 | -275.3681 |
| 20 | 28.6254 | 40.8941 | 30.2382 | 37.6397 | -36.9813 |
| 21 | -279.1293 | 324.5470 | -297.1297 | 315.0530 | -313.6165 |
| 22 | -119.6393 | 205.2364 | -118.4514 | 240.4736 | -239.9548 |
| 23 | -219.3024 | -438.9521 | -279.6245 | -438.3162 | -436.3377 |
| 24 | 258.7224 | -419.3630 | 217.1323 | -420.4472 | -417.7129 |
| 25 | 16.6561 | -211.6249 | -21.5127 | -181.5109 | -179.7476 |
| 26 | -290.2936 | -436.3126 | -279.6185 | -438.1166 | -436.3517 |
| 27 | -427.0138 | -186.0123 | -417.2868 | -218.2206 | -416.5154 |
| 28 | -503.6129 | -43.1251 | -512.0000 | -104.9281 | -468.1357 |
| 29 | -411.7844 | 413.5582 | -412.3347 | 415.5178 | -415.2257 |
| 30 | -405.8253 | 317.6938 | -389.5994 | 344.1956 | -383.0203 |
| 31 | 208.0471 | 139.4227 | 239.4520 | 117.1973 | -238.8432 |
| 32 | 397.2875 | 187.3428 | 342.9163 | 141.6701 | -342.4516 |
| 33 | -285.2379 | 248.7348 | -327.3999 | 234.6984 | -325.0478 |
| 34 | 182.1346 | -268.9388 | 183.3487 | -307.5397 | -304.5042 |
| 35 | -495.4635 | 35.8800 | -512.0000 | 34.3823 | -499.4955 |
| 36 | -289.1708 | -131.3455 | -303.6422 | -183.9266 | -303.0512 |
| 37 | -218.9498 | -219.1384 | -219.3552 | -220.3307 | -170.4071 |
| 38 | -211.9395 | 69.2522 | -197.6946 | 105.3803 | -195.7282 |
| 39 | 509.6006 | 135.7776 | 490.4398 | 147.1314 | -146.6173 |
| 40 | -98.7551 | -6.1246 | -107.1179 | 15.2223 | -106.0281 |
| 41 | 75.9719 | 121.2418 | 65.5990 | 138.2960 | -100.1151 |
| 42 | 438.0395 | 262.0968 | 498.8680 | 295.1937 | -497.1964 |
| 43 | -284.6541 | -145.8130 | -303.9074 | -184.4112 | -303.0655 |
| 44 | 472.2532 | -439.6267 | 478.6119 | -435.5845 | -472.9495 |
| 45 | 360.4744 | 309.1066 | 342.9938 | 326.0166 | -335.6084 |
| 46 | -407.5810 | -366.9884 | -403.7154 | -379.7881 | -401.5834 |
| 47 | -322.9868 | 27.5030 | -274.9299 | 25.0825 | -273.7478 |
| 48 | -467.4140 | -86.0288 | -511.9848 | -99.9095 | -462.2233 |
| 49 | -115.3279 | -344.0890 | -155.1571 | -403.3661 | -401.7032 |
| 50 | 382.9834 | -148.2809 | 334.5905 | -86.9469 | -333.1753 |

### Table 2: p=10, z=5.0
